Coordinates,Timestamp,Velocity,force,azimuth
"383.5,884.5",582643.3929999999,518.9413762710782,0.5402292887369792,-0.06325848499802231
"386.5,885.5",582643.4019999999,516.8679076461493,0.5400074005126954,-0.06325848499802231
"389.5,886.5",582643.4099999999,515.1519128065539,0.5403055826822917,-0.06325848499802231
"392.5,887.0",582643.418,513.1468409272908,0.5399247487386067,-0.06325848499802231
"396.0,888.0",582643.4269999999,511.2073247309489,0.5422649383544922,-0.06325848499802231
"399.0,889.0",582643.4349999999,509.5660591766726,0.5425589243570964,-0.06325848499802231
"402.0,890.0",582643.443,507.9471493994057,0.5427693684895833,-0.06325848499802231
"405.5,891.0",582643.4519999999,506.0889418888007,0.5534360249837239,-0.06325848499802231
"408.5,892.0",582643.46,504.51695039158386,0.5595761617024739,-0.06325848499802231
"412.0,893.0",582643.468,503.02034793239153,0.5616942087809245,-0.06325848499802231
"415.5,894.0",582643.477,501.24030876547056,0.5611069997151693,-0.06325848499802231
"419.0,894.5",582643.485,499.49248170396805,0.5639723459879558,-0.06325848499802231
"422.5,895.5",582643.4929999999,498.06646894853145,0.5621214548746745,-0.06325848499802231
"426.5,896.0",582643.502,496.1265087872822,0.5648497263590495,-0.06325848499802231
"430.0,896.5",582643.5099999999,494.4545686387037,0.5612185160319011,-0.06325848499802231
"433.5,896.5",582643.5179999999,492.515013833107,0.5585924784342448,-0.06325848499802231
"438.0,897.0",582643.5269999999,490.72333211273195,0.5591196695963542,-0.06325848499802231
"442.0,897.0",582643.5349999999,488.90170770357986,0.5576530456542969,-0.06325848499802231
"446.5,897.0",582643.543,487.17127402644945,0.5574939727783204,-0.06325848499802231
"451.0,896.5",582643.5519999999,484.90285102216353,0.557370376586914,-0.06325848499802231
"455.0,896.0",582643.5599999999,482.8868280500431,0.5573792775472005,-0.06325848499802231
"460.0,896.0",582643.568,481.31549553254996,0.5573413848876954,-0.06325848499802231
"465.0,895.5",582643.5769999999,479.2197907752171,0.5572957356770833,-0.06325848499802231
"469.5,895.5",582643.585,477.64386191284837,0.557375971476237,-0.06325848499802231
"474.5,895.5",582643.593,476.1659755258691,0.5690546671549479,-0.06325848499802231
"480.0,895.5",582643.602,474.52035774572545,0.5699275970458985,-0.06325848499802231
"485.0,895.5",582643.61,473.1039365611672,0.570013682047526,-0.06325848499802231
"490.5,895.5",582643.6179999999,471.7905480122474,0.5716775258382162,-0.06325848499802231
"496.0,895.5",582643.627,470.2446309074758,0.5704542795817057,-0.06325848499802231
"501.5,895.5",582643.6349999999,468.99354872228577,0.5722859700520834,-0.06325848499802231
"507.0,895.5",582643.6429999999,467.771902128613,0.5720625559488932,-0.06325848499802231
"512.5,895.5",582643.6519999999,466.3219911700933,0.5738972981770833,-0.06325848499802231
"517.5,895.5",582643.6599999999,465.07832290784575,0.5690184275309245,-0.06325848499802231
"523.0,895.5",582643.668,463.94255209017655,0.5672588348388672,-0.06325848499802231
"529.0,895.5",582643.6769999999,462.6662633076252,0.5663739522298177,-0.06325848499802231
"534.0,895.5",582643.6849999999,461.5030760067542,0.5666104634602864,-0.06325848499802231
"539.5,895.5",582643.693,460.45010377837303,0.5663799285888672,-0.06325848499802231
"545.5,895.5",582643.7019999999,459.26397338352626,0.5712159474690756,-0.06325848499802231
"551.0,895.5",582643.71,458.2655431023913,0.5713905334472656,-0.06325848499802231
"556.5,896.0",582643.7189999999,457.29949974691164,0.5718096415201823,-0.06325848499802231
"561.5,896.0",582643.727,456.26045853816674,0.5725735982259115,-0.06325848499802231
"567.0,896.0",582643.735,455.3351623271219,0.5727662404378255,-0.06325848499802231
"573.0,896.0",582643.744,454.2880219919338,0.5737848917643229,-0.06325848499802231
"578.0,896.0",582643.752,453.31900744320694,0.5728257497151693,-0.06325848499802231
"583.0,896.0",582643.7599999999,452.3711248921699,0.5719216664632162,-0.06325848499802231
"588.5,895.5",582643.769,451.0650448422122,0.5722910563151041,-0.06325848499802231
"593.5,895.5",582643.7769999999,450.1622161288827,0.5715021769205729,-0.06325848499802231
"598.5,895.5",582643.7849999999,449.2794588309919,0.5711666107177734,-0.06325848499802231
"604.0,895.0",582643.794,448.049396093049,0.5769944508870443,-0.06325848499802231
"609.0,894.5",582643.8019999999,446.9750005085637,0.5775613149007162,-0.06325848499802231
"614.5,893.5",582643.8099999999,445.7898319715347,0.5846923828125,-0.06325848499802231
"620.0,892.5",582643.8189999999,444.406840325419,0.5862959543863933,-0.06325848499802231
"624.5,892.0",582643.8269999999,443.301587141186,0.5871196746826172,-0.06325848499802231
"630.0,891.0",582643.835,442.1930167293802,0.5908087412516276,-0.06325848499802231
"635.5,890.0",582643.8439999999,440.8900191685373,0.593441899617513,-0.06325848499802231
"640.5,889.0",582643.852,439.7286434671025,0.5893500010172527,-0.06325848499802231
